Date,Close/Last,Volume,Open,High,Low
03/04/2022,0.1935,N/A,0.1935,0.1935,0.1935
03/03/2022,0.1893,N/A,0.1893,0.1893,0.1893
03/02/2022,0.1864,N/A,0.1864,0.1864,0.1864
03/01/2022,0.1834,N/A,0.1834,0.1834,0.1834
02/28/2022,0.18,N/A,0.18,0.18,0.18
02/25/2022,0.1799,N/A,0.1799,0.1799,0.1799
02/24/2022,0.1832,N/A,0.1832,0.1832,0.1832
02/23/2022,0.1853,N/A,0.1853,0.1853,0.1853
02/22/2022,0.1848,N/A,0.1848,0.1848,0.1848
02/18/2022,0.182,N/A,0.182,0.182,0.182
02/17/2022,0.1828,N/A,0.1828,0.1828,0.1828
02/16/2022,0.2026,N/A,0.2026,0.2026,0.2026
02/15/2022,0.1807,N/A,0.1807,0.1807,0.1807
02/14/2022,0.1812,N/A,0.1812,0.1812,0.1812
02/11/2022,0.1826,N/A,0.1826,0.1826,0.1826
02/10/2022,0.183,N/A,0.183,0.183,0.183
02/09/2022,0.1848,N/A,0.1848,0.1848,0.1848
02/08/2022,0.1808,N/A,0.1808,0.1808,0.1808
02/07/2022,0.1805,N/A,0.1805,0.1805,0.1805
02/04/2022,0.1823,N/A,0.1823,0.1823,0.1823
02/03/2022,0.1799,N/A,0.1799,0.1799,0.1799
02/02/2022,0.1793,N/A,0.1793,0.1793,0.1793
02/01/2022,0.1848,N/A,0.1848,0.1848,0.1848
01/31/2022,0.1822,N/A,0.1822,0.1822,0.1822
01/28/2022,0.182,N/A,0.182,0.182,0.182
01/27/2022,0.1841,N/A,0.1841,0.1841,0.1841
01/26/2022,0.1849,N/A,0.1849,0.1849,0.1849
01/25/2022,0.1878,N/A,0.1878,0.1878,0.1878
01/24/2022,0.1881,N/A,0.1881,0.1881,0.1881
01/21/2022,0.189,N/A,0.189,0.189,0.189
01/20/2022,0.1893,N/A,0.1893,0.1893,0.1893
01/19/2022,0.1907,N/A,0.1907,0.1907,0.1907
01/18/2022,0.1866,N/A,0.1866,0.1866,0.1866
01/14/2022,0.1831,N/A,0.1831,0.1831,0.1831
01/13/2022,0.1809,N/A,0.1809,0.1809,0.1809
01/12/2022,0.1834,N/A,0.1834,0.1834,0.1834
01/11/2022,0.1811,N/A,0.1811,0.1811,0.1811
01/10/2022,0.1783,N/A,0.1783,0.1783,0.1783
01/07/2022,0.1805,N/A,0.1805,0.1805,0.1805
01/06/2022,0.1819,N/A,0.1819,0.1819,0.1819
01/05/2022,0.1834,N/A,0.1834,0.1834,0.1834
01/04/2022,0.1875,N/A,0.1875,0.1875,0.1875
01/03/2022,0.1874,N/A,0.1874,0.1874,0.1874
12/31/2021,0.1888,N/A,0.1888,0.1888,0.1888
12/30/2021,0.1878,N/A,0.1878,0.1878,0.1878
12/29/2021,0.191,N/A,0.191,0.191,0.191
12/28/2021,0.1896,N/A,0.1896,0.1896,0.1896
12/27/2021,0.1921,N/A,0.1921,0.1921,0.1921
12/23/2021,0.1924,N/A,0.1924,0.1924,0.1924
12/22/2021,0.1926,N/A,0.1926,0.1926,0.1926
12/21/2021,0.1874,N/A,0.1874,0.1874,0.1874
12/20/2021,0.1859,N/A,0.1859,0.1859,0.1859
12/17/2021,0.1911,N/A,0.1911,0.1911,0.1911
12/16/2021,0.194,N/A,0.194,0.194,0.194
12/15/2021,0.1929,N/A,0.1929,0.1929,0.1929
12/14/2021,0.1965,N/A,0.1965,0.1965,0.1965
12/13/2021,0.1964,N/A,0.1964,0.1964,0.1964
12/10/2021,0.1971,N/A,0.1971,0.1971,0.1971
12/09/2021,0.1969,N/A,0.1969,0.1969,0.1969
12/08/2021,0.1982,N/A,0.1982,0.1982,0.1982
12/07/2021,0.1948,N/A,0.1948,0.1948,0.1948
12/06/2021,0.1916,N/A,0.1916,0.1916,0.1916
12/03/2021,0.1875,N/A,0.1875,0.1875,0.1875
12/02/2021,0.1862,N/A,0.1862,0.1862,0.1862
12/01/2021,0.2026,N/A,0.2026,0.2026,0.2026
11/30/2021,0.186,N/A,0.186,0.186,0.186
11/29/2021,0.1919,N/A,0.1919,0.1919,0.1919
11/26/2021,0.1935,N/A,0.1935,0.1935,0.1935
11/24/2021,0.1993,N/A,0.1993,0.1993,0.1993
11/23/2021,0.2011,N/A,0.2011,0.2011,0.2011
11/22/2021,0.1976,N/A,0.1976,0.1976,0.1976
11/19/2021,0.1999,N/A,0.1999,0.1999,0.1999
11/18/2021,0.2018,N/A,0.2018,0.2018,0.2018
11/17/2021,0.2042,N/A,0.2042,0.2042,0.2042
11/16/2021,0.1999,N/A,0.1999,0.1999,0.1999
11/15/2021,0.1974,N/A,0.1974,0.1974,0.1974
11/12/2021,0.2001,N/A,0.2001,0.2001,0.2001
11/11/2021,0.2012,N/A,0.2012,0.2012,0.2012
