Date,Close/Last,Volume,Open,High,Low
03/04/2022,1.1642,N/A,1.1642,1.1642,1.1642
03/03/2022,1.198,N/A,1.198,1.198,1.198
03/02/2022,1.1854,N/A,1.1854,1.1854,1.1854
03/01/2022,1.2275,N/A,1.2275,1.2275,1.2275
02/28/2022,1.1912,N/A,1.1912,1.1912,1.1912
02/25/2022,1.1863,N/A,1.1863,1.1863,1.1863
02/24/2022,1.1916,N/A,1.1916,1.1916,1.1916
02/23/2022,1.213,N/A,1.213,1.213,1.213
02/22/2022,1.2029,N/A,1.2029,1.2029,1.2029
02/18/2022,1.2299,N/A,1.2299,1.2299,1.2299
02/17/2022,1.2193,N/A,1.2193,1.2193,1.2193
02/16/2022,1.2191,N/A,1.2191,1.2191,1.2191
02/15/2022,1.2304,N/A,1.2304,1.2304,1.2304
02/14/2022,1.2293,N/A,1.2293,1.2293,1.2293
02/11/2022,1.2528,N/A,1.2528,1.2528,1.2528
02/10/2022,1.2566,N/A,1.2566,1.2566,1.2566
02/09/2022,1.2643,N/A,1.2643,1.2643,1.2643
02/08/2022,1.2715,N/A,1.2715,1.2715,1.2715
02/07/2022,1.2557,N/A,1.2557,1.2557,1.2557
02/04/2022,1.2674,N/A,1.2674,1.2674,1.2674
02/03/2022,1.2762,N/A,1.2762,1.2762,1.2762
02/02/2022,1.2633,N/A,1.2633,1.2633,1.2633
02/01/2022,1.2733,N/A,1.2733,1.2733,1.2733
01/31/2022,1.2757,N/A,1.2757,1.2757,1.2757
01/28/2022,1.2376,N/A,1.2376,1.2376,1.2376
01/27/2022,1.2163,N/A,1.2163,1.2163,1.2163
01/26/2022,1.2233,N/A,1.2233,1.2233,1.2233
01/25/2022,1.2092,N/A,1.2092,1.2092,1.2092
01/24/2022,1.2038,N/A,1.2038,1.2038,1.2038
01/21/2022,1.2075,N/A,1.2075,1.2075,1.2075
01/20/2022,1.2287,N/A,1.2287,1.2287,1.2287
01/19/2022,1.2395,N/A,1.2395,1.2395,1.2395
01/18/2022,1.2108,N/A,1.2108,1.2108,1.2108
01/14/2022,1.197,N/A,1.197,1.197,1.197
01/13/2022,1.1684,N/A,1.1684,1.1684,1.1684
01/12/2022,1.1764,N/A,1.1764,1.1764,1.1764
01/11/2022,1.1602,N/A,1.1602,1.1602,1.1602
01/10/2022,1.1522,N/A,1.1522,1.1522,1.1522
01/07/2022,1.1512,N/A,1.1512,1.1512,1.1512
01/06/2022,1.1472,N/A,1.1472,1.1472,1.1472
01/05/2022,1.1628,N/A,1.1628,1.1628,1.1628
01/04/2022,1.1639,N/A,1.1639,1.1639,1.1639
01/03/2022,1.1323,N/A,1.1323,1.1323,1.1323
12/31/2021,1.126,N/A,1.126,1.126,1.126
12/30/2021,1.1434,N/A,1.1434,1.1434,1.1434
12/29/2021,1.1299,N/A,1.1299,1.1299,1.1299
12/28/2021,1.1005,N/A,1.1005,1.1005,1.1005
12/27/2021,1.1228,N/A,1.1228,1.1228,1.1228
12/23/2021,1.0912,N/A,1.0912,1.0912,1.0912
12/22/2021,1.0883,N/A,1.0883,1.0883,1.0883
12/21/2021,1.0727,N/A,1.0727,1.0727,1.0727
12/20/2021,1.0554,N/A,1.0554,1.0554,1.0554
12/17/2021,1.073,N/A,1.073,1.073,1.073
12/16/2021,1.0968,N/A,1.0968,1.0968,1.0968
12/15/2021,1.0579,N/A,1.0579,1.0579,1.0579
12/14/2021,1.059,N/A,1.059,1.059,1.059
12/13/2021,1.0681,N/A,1.0681,1.0681,1.0681
12/10/2021,1.0623,N/A,1.0623,1.0623,1.0623
12/09/2021,1.0659,N/A,1.0659,1.0659,1.0659
12/08/2021,1.0672,N/A,1.0672,1.0672,1.0672
12/07/2021,1.0637,N/A,1.0637,1.0637,1.0637
12/06/2021,1.0701,N/A,1.0701,1.0701,1.0701
12/03/2021,1.042,N/A,1.042,1.042,1.042
12/02/2021,1.037,N/A,1.037,1.037,1.037
12/01/2021,1.0419,N/A,1.0419,1.0419,1.0419
11/30/2021,1.0641,N/A,1.0641,1.0641,1.0641
11/29/2021,1.1141,N/A,1.1141,1.1141,1.1141
11/26/2021,1.1178,N/A,1.1178,1.1178,1.1178
11/24/2021,1.1578,N/A,1.1578,1.1578,1.1578
11/23/2021,1.1566,N/A,1.1566,1.1566,1.1566
11/22/2021,1.1771,N/A,1.1771,1.1771,1.1771
11/19/2021,1.1922,N/A,1.1922,1.1922,1.1922
11/18/2021,1.1759,N/A,1.1759,1.1759,1.1759
11/17/2021,1.197,N/A,1.197,1.197,1.197
11/16/2021,1.1798,N/A,1.1798,1.1798,1.1798
11/15/2021,1.1762,N/A,1.1762,1.1762,1.1762
11/12/2021,1.1769,N/A,1.1769,1.1769,1.1769
11/11/2021,1.1854,N/A,1.1854,1.1854,1.1854
11/10/2021,1.1868,N/A,1.1868,1.1868,1.1868
11/09/2021,1.1938,N/A,1.1938,1.1938,1.1938
11/08/2021,1.1655,N/A,1.1655,1.1655,1.1655
11/05/2021,1.1687,N/A,1.1687,1.1687,1.1687
11/04/2021,1.1646,N/A,1.1646,1.1646,1.1646
11/03/2021,1.1882,N/A,1.1882,1.1882,1.1882
11/02/2021,1.1725,N/A,1.1725,1.1725,1.1725
11/01/2021,1.1984,N/A,1.1984,1.1984,1.1984
10/29/2021,1.1485,N/A,1.1485,1.1485,1.1485
10/28/2021,1.1373,N/A,1.1373,1.1373,1.1373
10/27/2021,1.1052,N/A,1.1052,1.1052,1.1052
10/26/2021,1.0871,N/A,1.0871,1.0871,1.0871
10/25/2021,1.0854,N/A,1.0854,1.0854,1.0854
10/22/2021,1.0826,N/A,1.0826,1.0826,1.0826
10/21/2021,1.0614,N/A,1.0614,1.0614,1.0614
10/20/2021,1.1073,N/A,1.1073,1.1073,1.1073
10/19/2021,1.0783,N/A,1.0783,1.0783,1.0783
10/18/2021,1.0704,N/A,1.0704,1.0704,1.0704
10/15/2021,1.0733,N/A,1.0733,1.0733,1.0733
10/14/2021,1.071,N/A,1.071,1.071,1.071
10/13/2021,1.0386,N/A,1.0386,1.0386,1.0386
10/12/2021,1.0638,N/A,1.0638,1.0638,1.0638
10/11/2021,1.0979,N/A,1.0979,1.0979,1.0979
10/08/2021,1.106,N/A,1.106,1.106,1.106
10/07/2021,1.1161,N/A,1.1161,1.1161,1.1161
10/06/2021,1.1106,N/A,1.1106,1.1106,1.1106
10/05/2021,1.0893,N/A,1.0893,1.0893,1.0893
